JHU,GCP
Colombia_Risaralda,Colombia_Risaralda
Colombia_San Andres y Providencia,Colombia_San Andrés and Providencia
Colombia_Santander,Colombia_Santander
Colombia_Sucre,Colombia_Sucre
Colombia_Tolima,Colombia_Tolima
Colombia_Unknown,
Colombia_Valle del Cauca,Colombia_Valle Del Cauca
Colombia_Vaupes,Colombia_Vaupés
Colombia_Vichada,Colombia_Vichada
Comoros_,Comoros
Congo (Brazzaville)_,Democratic Republic of the Congo_
Congo (Kinshasa)_,Democratic Republic of the Congo_
Costa Rica_,Costa Rica
Cote d'Ivoire_,
Croatia_,Croatia_
Cuba_,Cuba_
Cyprus_,Cyprus_
Czechia_,Czech Republic_
Denmark_Faroe Islands,Denmark_
Denmark_Greenland,Denmark_
Denmark_,Denmark_
Diamond Princess_,
Djibouti_,Djibouti_
Dominica_,Dominica_
Dominican Republic_,Dominican Republic_
Ecuador_,Ecuador_
Egypt_,Egypt
El Salvador_,El Salvador_
Equatorial Guinea_,Equatorial Guinea_
Eritrea_,Eritrea_
Estonia_,Estonia_
Eswatini_,
Ethiopia_,Ethiopia_
Fiji_,
Finland_,Finland_
France_French Guiana,French Guiana_
France_French Polynesia,French Polynesia_
France_Guadeloupe,France_Guadeloupe
France_Martinique,France_Martinique
France_Mayotte,France_Mayotte
France_New Caledonia,
France_Reunion,France_La Réunion
France_Saint Barthelemy,France_Saint Barthélemy
France_Saint Pierre and Miquelon,France_Saint Pierre and Miquelon
France_St Martin,France_Saint Martin
France_,France_
Gabon_,Gabon_
Gambia_,Gambia_
Georgia_,Georgia_
Germany_Baden-Wurttemberg,Germany_Brandenburg
Germany_Bayern,Germany_Bavaria
Germany_Berlin,Germany_Berlin
Germany_Brandenburg,Germany_Baden-Württemberg
Germany_Bremen,Germany_Bremen
Germany_Hamburg,Germany_Hamburg
Germany_Hessen,Germany_Hesse
Germany_Mecklenburg-Vorpommern,Germany_Mecklenburg-Vorpommern
Germany_Niedersachsen,Germany_Lower Saxony
Germany_Nordrhein-Westfalen,Germany_North Rhine-Westphalia
Germany_Rheinland-Pfalz,Germany_Rhineland-Palatinate
Germany_Saarland,Germany_Saarland
Germany_Sachsen,Germany_Saxony
Germany_Sachsen-Anhalt,Germany_Saxony-Anhalt
Germany_Schleswig-Holstein,Germany_Schleswig-Holstein
Germany_Thuringen,Germany_Thuringia
Germany_Unknown,
Ghana_,Ghana_
